"bathrooms","bedrooms","created","description","display_address","latitude","longitude","price","street_address","interest_level","elevator","cats_allowed","hardwood_floors","dogs_allowed","doorman","dishwasher","no_fee","laundry_in_building","fitness_center","pre-war","laundry_in_unit","roof_deck","outdoor_space","dining_room","high_speed_internet","balcony","swimming_pool","new_construction","terrace","exclusive","loft","garden_patio","wheelchair_access","common_outdoor_space"
1.0,0,"2016-04-14 01:10:30","New to the market! Spacious studio located in the 80s, in a well maintained elevator building with laundry room. For viewing and more information please contact Artak. ","York Avenue",40.7769,-73.9467,1950,"1661 York Avenue","low",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1.0,1,"2016-06-03 03:21:22","Check out this one bedroom apartment in a great location of Washington Heights.  This apartment is just a block from everything you need!  Also within walking distance to Columbia Presbyterian! This apartment won't last long on the market! Call now! Call/ Email Heidi to tour apartments in the area and anything you see here on Bohemia kagglemanager@renthop.com 189-560-4844 APARTMENT:* Dishwasher* Queen Size Sunny Bedroom* Spacious Living room* Hardwood Floors* Stainless Steel appliances * Subway (A/C &amp; 1 Trains)* Kind &amp; friendly Broker :)Located by W 173 &amp; Fort Washington  Call today and I can show you everything Bohemia has to offer189-560-4844 kagglemanager@renthop.com","W. 173rd Street",40.8448,-73.9396,1675,"644 W. 173rd Street","low",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1.0,2,"2016-04-19 05:37:25","***LOW FEE. Beautiful CHERRY OAK WOODEN FLOORSTHE LOBBY IS VERY NICE AND MODERN! GORGEOUS FLEX TWO BEDROOM APARTMENT LOCATED IN THE HEART OF MURRAY HILL. Near many great restaurants, bars, entertainment, shopping and major transportation. THIS IS A STEAL AND WILL NOT LAST. Great Location 24 HR DOORMAN SPACIOUS ROOMS TONS OF SUNLIGHT IN HOUSE WASHER/DRYER FACILITY<br /><br />FOR FURTHER INFORMATION AND EXCLUSIVE VIEWING PLEASE CONTACT MEYER OVADIA AT 753-396-6626 OR VIA EMAIL AT kagglemanager@renthop.com<br /><br />NOT WHAT YOU ARE LOOKING FOR? FEEL FREE TO CONTACT ME WITH ANY SPECIAL REQUESTS. I'LL BE MORE THAN HAPPY TO FURTHER ASSIST YOU IN YOUR SEARCH<br /><br /><p><a  website_redacted ","E 38th St",40.7488,-73.977,3000,"137 E 38th St","high",1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2.0,2,"2016-04-09 01:22:11","Lincoln Square's premier full service buildings located a short distance from Central Park, Lincoln Center, Columbus Circle and Time Warner Center.A full service condominium offering:24 hour concierge24hr doormanResident managerLaundry on every floorOn-site parking garageState of the art health club Oasis Club boasting floor to ceiling windows and Central Park viewsSwimming pool with sun deckGymSaunaMassage roomFurnished roof deck with Cabanas and BBQ grillsLounge with bar and fireplaceBilliards roomPutting GreenChildrens play roomDogs must be 20 lbs MAX ","West 63rd Street",40.7707,-73.9817,6895,"30 West 63rd Street","low",0,1,0,1,1,0,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
1.0,1,"2016-06-01 03:11:01","Spacious 1-Bedroom to fit King-sized bed comfortably.Pristine Marble Tiled Bathroom!NEW Black Tiled GRANITE Stainless Steel Kitchen!LARGE Living Area foe entertaining/relaxing!A Must See!<br /><br /><br /><br />Great location. Walking distance to major transportation centers. Hop on your bike and ride the Queensboro bridge or walk to the park and relax after a long day at work. Hop on over to the Roosevelt Island tram and take it across the East River.<br /><br />For any questions, please call Zaim at (283-814-3404.<br /><br /><br /><br /><p><a  website_redacted ","East 56th St..",40.7584,-73.9648,3050,"315 East 56th St..","low",1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1.0,0,"2016-04-18 02:36:00","Stunning  full renovated studio unit. High ceilings and sleek oak strip floors enhance the spacious layout. Clean lines and stainless steel appliances complete the modern open kitchen. Generous studio features lots of closets and sound reducing and energy efficient windows. 24 hour doorman with fitness center, rooftop deck and convenient valet services.<br /><br />PLEASE CALL OR TEXT ISAAC 574-766-3744 OR EMAIL kagglemanager@renthop.com<br /><br /><br /><br /><p><a  website_redacted ","East 34th Street",40.7439,-73.9743,2350,"340 East 34th Street","medium",1,0,0,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1.0,2,"2016-04-22 05:57:16","East Village is a great community with great people and offers a good of resources. These include great bars, restaurants, prime shops, nice parks to job or just hang out.<br /><br />This spacious 2 bedroom come with the  following amenities...*Hardwood Floors*High Ceilings*Great Lighting*Marble Bathroom*Granite Kitchen<p><a  website_redacted ","1st Ave.",40.7305,-73.983,3650,"214 1st Ave.","low",0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1.0,1,"2016-04-19 03:36:28","*Location: Thayer St. &amp; Broadway, Manhattan*This phenomenally priced, large 1 bedroom apartment is such an amazing find. Great Size and Awesome Neighborhood. You simply have to see it! Contact me to for a viewing:  kagglemanager@renthop.com OR  391-174-0575*The Apartment:-Spacious and sunny kitchen-Extra dining area-Huge separate living room w/ bright windows-King sized bedroom w/ closet-Coat closet in entryway-Beautiful Hardwood Floors-Full-sized Bathtub-Lovely building lobby w/ elevator*The Neighborhood:-1 Block from the A train-3 Blocks to the 1 Train-Starbucks, Tryon Public House, The Park View, Mamasushi and tons of other great restaurants, bars and coffee shops in the neighborhood.-Close proximity to groceries, laundry, banks, gyms and other conveniences-1 Block from beautiful Fort Tryon Park and The Clositers-Inwood Farmer's Market and Hudson River jogging/ bike path minutes away*Contact me to get in on this amazing deal!Marie Maucort kagglemanager@renthop.com to see MORE???I can show you any apartment on our website: www.bohemiarealtygroup.comLiving in Upper Manhattan has never been more exciting... LET'S GET STARTED!**Applicants should have GOOD credit and an annual income of at least 40x the monthly rent**","Thayer St",40.8643,-73.928,1695,"98 Thayer St","low",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1.0,4,"2016-04-20 04:00:32","        ","West 106th Street",40.7999,-73.9638,5000,"127 West 106th Street","low",0,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1.0,1,"2016-04-09 03:49:42","        ","1st Avenue",40.7328,-73.9799,3973,"272 1st Avenue","low",0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1.0,3,"2016-04-12 02:39:45","BEAUTIFUL 2 BEDROOM POSSIBLE CONVERSION INTO THREE BEDROOM; Newly renovated two bedroom apartment. Gourmet kitchen equipped with premium cabinetry, granite counter-tops and stainless steel appliances including dishwasher and microwave. WOOD-BURNING FIREPLACE; Extra closet space;FEATURES*Caesarstone Countertops*Dishwasher*Gas Fireplace*Great Closets*Hardwood Floors*High Ceilings*Microwave*Premium Cabinets this great amount of new space is a must see,View this specific apartment 7 days a week from 10-8:30pm with a 24 hours notice. For the best apartment match up, kindly email me what you would like in your ideal new home and make sure your moving date is less then a month away. P To schedule now an exclusive appointment to view this apartment reach me Tuval Mor by EMAIL , CALL OR TEXT. @All pictures are copyright protected, all rights reserved to Tuval Mor.<br /><br />Bond New York is a real estate broker that supports equal housing opportunity.<p><a  website_redacted ","Madison Avenue",40.7454,-73.9845,4395,"121 Madison Avenue","low",1,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1.0,2,"2016-04-07 02:11:45","No fee huge two bedroom apartment. Great location 3rd, close to NYU Medical Center. Beautiful true 2 bedroom apartment, renovated with AC, hardwood floor, new marble bathroom and great view of NY. Elevator building features laundry room and on-site garage.  Call or Email to view!","E 30th St,",40.7427,-73.9794,2999,"210 E 30th St,","medium",1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1.0,1,"2016-04-13 05:17:43","        ","East 35th Street",40.7447,-73.9741,2595,"326 East 35th Street","low",0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1.0,1,"2016-04-17 02:26:52","CooperCooper.com :: Web ID #179546; Access 1000s of Unique Listings Online; APARTMENT FEATURES: Washer/Dryer, Dishwasher, Granite Kitchen, High Ceilings, Central A/C, Wood Floors; BUILDING AMENITIES: Rental, Post-War, Hi-Rise, Doorman, Concierge, Elevator, Gym, Swimming Pool, Laundry Room, Roof Deck, Pets Allowed, Bike Room, Business Center, Lounge, Children's Playroom; AREA/NEIGHBORHOOD: Gristedes, Rite Aid, Access to the X15,M22 Buses, Access to 2/3/4/5/6/N/R/J/Z, East River Bikeway, South Street Seaport, Whole Foods Market; CONTACT US: For more information or to schedule a viewing, call Cooper &amp; Cooper at 000-420-2751 or email: kagglemanager@renthop.com; HELPFUL LINKS: Find A C&amp;C Associate - CooperCooper.com/Associates; Search 1000s Of Apartments - CooperCooper.com/SearchRentals; Attend Our Next Buying Seminar - CooperCooper.com/BuyingSeminar; Read Reviews - CooperCooper.com/Testimonials","Liberty Street",40.7074,-74.0081,3695,"10 Liberty Street","low",1,1,0,1,1,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
2.0,4,"2016-06-07 04:39:56","SPRAWLING 2 BEDROOM FOUND! ENJOY THE LUXURY OF A FULL SERVICE DOORMAN, RESIDENTIAL ROOF DECK, GYM & LAUNDRY. LIVE-IN SUPER TO ACCOMMODATE 24/7! ENJOY SHOPPING, AMAZING RESTAURANTS, FUN BARS, EASY TRANSPORTATION! SUBWAYS JUST FOOT STEPS AWAY!<br /><br />SPRAWLING 4 BEDROOM WITH A 2 FULL BATHROOMS & GREAT NATURAL LIGHT - GOURMET KITCHEN EQUIPPED WITH BRAND NEW APPLIANCES, PLENTY OF COUNTER & CABINET SPACE - FULL SIZED MARBLE BATHROOMS - KING SIZED BEDROOMS EQUIPPED WITH A LARGE CLOSET & FLOOR TO CEILING WINDOWS - SPACIOUS LIVING & DINING AREA EQUIPPED WITH A HUGE CLOSET & FLOOR TO CEILING WINDOWS - SUPER HIGH CEILINGS!<br /><br />**LET YOUR SEARCH ENDS HERE!** **GUARANTORS WELCOME!!**<br /><br />I SPECIALIZE IN THIS AREA AND I COVER ALL NO FEE BUILDINGS. FOR AN EXCLUSIVE TOUR TO TEXT EMAIL OR CALL. 278-560-8597 kagglemanager@renthop.com<p><a  website_redacted ","W 18 St.",40.7391,-73.9936,7400,"30 W 18 St.","medium",1,1,1,1,1,1,0,0,1,0,0,0,1,0,1,1,0,0,1,0,0,0,0,0
3.5,4,"2016-04-27 06:43:40","Amazing 4 bedroom convertible. Remarkably luxurious on high floor with incredible city and river views. Top of the line stainless steel kitchen with dining room attached. 30 foot living room!! Large and spacious king sized bedrooms. Marble bathrooms, ample closet space throughout. Washer and dryer in unit. TONS of natural sunlight from high floor and eastern and southern exposures.<br /><br />New and impressive building. Full service staff including doorman, concierge, management, and garage attendants all 24 hours 7 days a week. Full gym, children s play room, tenants lounge and conference room and beautiful landscaped roof top deck.<br /><br />DO NOT MISS OUT ON THIS DEAL!!!<br /><br />TO VIEW CALL TAL @ 516 603 kagglemanager@renthop.com<p><a  website_redacted ","East 56th",40.7584,-73.9653,7500,"310 East 56th","low",1,0,1,0,1,1,1,0,1,0,1,1,1,1,0,1,0,0,0,0,0,0,0,0
1.0,1,"2016-04-25 02:29:50","Don't miss out on this fantastic apartment....Spacious 1Bdr for an affordable price!Bright, Sunny, Renovated with new appliances and recessed lighting. Spacious 1bdr with very nice layout!!! Great Closet Space!!! WHY PAY OTHER BROKERS 15% FOR A GREAT APARTMENT WHEN YOU CAN PAY 7.5% FOR THE SAME SPACE WITH EXCELLENT CUSTOMER SERVICE?CALL ME NOW: 079-777-0601<br /><br /><br /><br /><br /><br /><p><a  website_redacted ","E 81st St.",40.7728,-73.9502,2295,"444 E 81st St.","medium",0,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1.0,1,"2016-04-22 05:39:10","The TRUE 1 bedroom apartment features extra large windows that emitt tons of sun light throughout the day, an incredibly spacious living area,  an beautiful modern kitchen with the latest appliances, and more. Laundry on every floor.<br /><br />Located minutes away from Central Park/Columbus Circle. Gorgeous technologically energy efficient and environmentally capable building with full luxury concierge doorman service. Three level fitness center, residential lounge, personal assistant, and a gorgeous roof-deck with Hudson River views are just some of the unique features of this building.<br /><br />Call or Text Jonathan Choi to schedule a viewing anytime.<br /><br /><br /><br /><br /><br /><p><a  website_redacted ","West 57th Street",40.7709,-73.9917,3164,"601 West 57th Street","low",1,0,1,0,1,1,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0
1.0,1,"2016-04-21 05:27:10","        Currently under renovation, this one bedroom is going to be beautiful.<br /><br />Call or text us to set up your personal tour today!<br /><br /><br /><br />","1215 Morris Avenue",40.8335,-73.9141,1350,"1215 Morris Avenue","high",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2.0,2,"2016-04-26 02:59:37","Gut Renovated Apartment with Stainless steel appliances, Natural maple shaker kitchen cabinets with granite counter-tops and floor, Marble tiled bathroom.<br /><br />Luxury building with 24-hour doorman, laundry facility.<br /><br />To see this apartment or to discuss your search please call, text or email me kagglemanager@renthop.com 516-548-7452<br /><br /><p><a  website_redacted ","E 79th St.",40.7716,-73.9506,5600,"435 E 79th St.","low",1,0,1,0,1,1,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1.0,0,"2016-04-21 02:17:28","Enjoy the Upper West Side life-style!  This apartment is ideally configured as a junior one bedroom with a separate home office.  Located in a pre-war condominium building on a lovely tree-lined street, it is just west of Broadway and convenient to all transportation choices.<BR><BR>This home has large windows facing 88th Street, allowing a lot of light to fill the living space.  A separately designed sleeping area plus a home office offer much flexibility.  The large kitchen is well-equipped with a full-size gas range and oven, dishwasher and an all-in-one washer dryer unit.  The apartment has been recently upgraded with new wooden floors and a fully renovated bath.<BR><BR>""The Central"" provides a variety of amenities to its residents including a full-time doorman, live-in super, a bike room and a central laundry room.  It is convenient to both Riverside Park and Central Park and is surrounded by an array of retail shops, restaurants, entertainment venues and services.  Come see for yourself!  (Apologies but pets aren't permitted.  This is also a non-smoking building.)<br><p><img src= "" website_redacted width=""1"" height=""1"" /><ul><li><a target=_blank href= website_redacted (Nancy) Lorraine Baker for more information</a> </li><li><a target=_blank href= website_redacted full listing information on elliman.com</a> </li></ul></p> ","250 West 88th Street",40.7897,-73.976,2750,"250 West 88th Street","medium",1,1,0,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0
1.0,2,"2016-04-04 04:10:01","--Prime location of the Upper West Side, this gorgeous building nearby TONS of the finest restaurants, shops, beauty salon and groceries stores will be perfect to live in. Baby steps from Central Park !! A full time Doorman and a renovated lobby to make the tenants' life much better. You will also find the private residential courtyard as well as the laundry in the building.**<br /><br />*** WOW *** Exquisite, fabulous, stunning HUGE JUNIOR 4 - 1 bedroom - convertible to 2 bed, with spacious balcony for breakfast, lunch and dinner with friends when the weather allows it! Brand New Granite Open Kitchen - Dishwasher -  Picturesque view! Brand new Hardwood floor! Lots of closets all over the unit - Sun-filled **<br /><br />--CONTACT NOW:- SIMON M. (085-339-4093 O: (085-339-4093 kagglemanager@renthop.com<br /><br /><p><a  website_redacted ","W 93 St.",40.7902,-73.9678,3500,"50 W 93 St.","medium",1,1,1,1,1,1,1,0,0,0,0,0,1,1,1,1,0,0,1,0,0,0,0,0
1.0,1,"2016-04-22 04:58:35","This apartment features south and west exposure with partial river views, a pass-through kitchen with dishwasher and granite countertops, and a walk-in closet. Some building amenities include a garage, pool, lounge, valet, and fitness center. All of this just steps away from Brookfield Place! ","Chambers Street",40.7179,-74.0148,5165,"400 Chambers Street","low",1,1,0,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1.0,2,"2016-04-20 02:43:19","Prime location in the heart of Greenwich Village with full time doorman, laundry, elevator and pet friendly.<br /><br />Massive 2 bedroom apartment with dishwasher, eat-in kitchen, very high ceilings, ample closet space, lots of natural light, hardwood floor and much more. Must see to appreciate.<br /><br />To schedule a visit, please contact David at (167-773-6202 or email kagglemanager@renthop.com<br /><br /><p><a  website_redacted ","Waverly Place",40.7301,-73.9942,4400,"11 Waverly Place","low",1,0,1,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1.0,2,"2016-06-17 03:30:24","This desirable apartment is located in Washington Heights near the trains, park and hospitals. The apartment features 2 bedrooms and a modern kitchen/living room layout. To see this great apartment and others on the market call Sandra Dor for a private showing. Thinking about purchasing a home? I can assist you with that as well.<br /><br />Bond New York is a real estate broker that supports equal housing opportunity.<p><a  website_redacted ","W 171 Street",40.844,-73.9404,2300,"651 W 171 Street","low",1,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1.0,1,"2016-04-18 03:34:14","Located on 106th &amp; 2nd Ave. Trains: 6 at 110th {Photos of ACTUAL APARTMENT}FAB FEATURES INCLUDE: *1 Full Sized Room *An Abundance of Sunlight *Windowed bathroom *Pets OK-Yay! Don't let this or any other apartment in NYC be the &quot;one that got away&quot; Keep in touch and set up a tour of your future home with me ASAP! I am the key to unlocking your next &amp; best move. URGENCY is of the UTMOST IMPORTANCE especially in the NY market, as you read this, someone else may be viewing it &amp; falling in love.. CALL or TEXT MICHAELA BOYD at {856-144-5107} EMAIL {kagglemanager@renthop.com} ** Applicants should have GOOD credit and make 40Xs the Monthly rent OR have a Guarantor who has GOOD credit and makes 80Xs the Monthly rent!** Michaela Boyd/ Licensed Real Estate Salesperson MOBILE: 856-144-5107 EMAIL: kagglemanager@renthop.com - See more at:  website_redacted ","East 106 Street",40.79,-73.9418,1650,"312 East 106 Street","low",0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1.0,0,"2016-04-04 03:47:57","Location: 141st St. and Malcolm X BlvdSubway: 2/3Call or Email Jared and Schedule a Showing TODAY!!(023-574-8109 &lt;&gt; kagglemanager@renthop.com PLACE: (*Actual Apartment Photos*)- Hardwood Floors- Super CozyTHE BUILDING:- Well Maintained Prewar Building- Pets Ok, Case-By- Case- Close to 2/3 Express Subway, Associated, IHOP (Cause who doesn't love PANCAKES!?!)*With the vacancy rate in the city at 1%, this is a highly competitive market that moves very quickly. If you fall in love with an apartment and have your financials in order, I can take it off the market for you immediately while your application is pending!*I have SEVERAL listings to fit any lifestyle.Give me a call and find out why UPTOWN is the place to be! Call or Email Jared and Schedule a Showing TODAY!!(023-574-8109 &lt;&gt; kagglemanager@renthop.com","West 141st Street",40.8184,-73.9389,1300,"111-115 West 141st Street","low",0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1.0,0,"2016-04-17 02:16:42","Located in one of Manhattan's most desirable areas, this beautifully renovated studio is the perfect opportunity. With high ceilings, renovated hardwood floors, crown moldings, a modern kitchen and a new bathroom, this apartment instantly delivers great value. The Coronet is a full-service, pre-war condominium located a block away from Central Park and Fifth Avenue. With easy access to world-renowned restaurants, retail shops, and cultural venues, this building is in the middle of it all. For your convenience a full-time doorman, live-in superintendent, and a porter are at your disposition.<br><p><img src= "" website_redacted width=""1"" height=""1"" /><ul><li><a target=_blank href= website_redacted Dustin Benichou for more information</a> </li><li><a target=_blank href= website_redacted full listing information on elliman.com</a> </li></ul></p> ","West 58th Street",40.7649,-73.9763,1980,"57 West 58th Street","high",1,1,0,1,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2.0,2,"2016-04-06 06:27:51","Stunning two bedroom / two bathroom corner apartment on a high floor of a luxurious high rise building. The apartment has a split bedroom layout with large bedrooms and excellent living space. Fully renovated with stainless steel appliances and marble bathrooms. ample closet space and great natural sunlight flowing from large double pained windows. Unobstructed city views. Apartment has washer and dryer in the unit.<br /><br />The distinguished luxury building offers full time doorman, media room, tenants lounge, laundry facilities, valet services, and state of the art fitness facility. There is also a beautifully landscaped and furnished sun terrace. Building is located right in the middle of mid town between 5th avenue and Broadway.<br /><br />No Fee<br /><br />To view call Tal at 190-041-2739 or Email kagglemanager@renthop.com<p><a  website_redacted ","West 31st Street",40.7471,-73.9867,6500,"9 West 31st Street","low",1,0,1,0,0,1,1,0,0,0,1,1,0,1,1,0,0,0,0,0,0,0,0,0
1.0,0,"2016-06-29 04:08:35","Prime Location!! This Luxury Chelsea building features a 24 hour doorman with valet service and a beautifully remodeled classy lobby. Fully equipped  fitness center, large rooftop and laundry located on every floor.. The building is surrounded by everything you need!<br /><br />Spacious Alcove Studio with high ceilings and large windows that flow in beautiful natural light. The open kitchen has a microwave and a dishwasher and ample closet space!<br /><br />Contact: AlexiEmail: kagglemanager@renthop.com Cell: 131-300-3721<br /><br /><p><a  website_redacted ","W 34 St.",40.753,-73.9959,2396,"360 W 34 St.","medium",1,1,1,1,1,1,1,0,1,1,1,1,1,0,1,0,0,0,0,0,0,0,0,0
1.0,3,"2016-04-18 04:46:30","These pictures are from a similarlisting.","Thompson St",40.7231,-74.0044,3733,"25 Thompson St","low",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
